"","x"
"“@J_tsar: Ain't no love in the heart of the city, stay safe people” wow",5
"“@J_tsar: Ain't no love in the heart of the city, stay safe people” wtf",3
"“@J_tsar: Being bilingual is da bomb”",19
"“@J_tsar: Being bilingual is da bomb” ",10
"“@J_tsar: Being bilingual is da bomb” oh",5
"“@J_tsar: Being bilingual is da bomb” well",3
"“@J_tsar: Breaking Bad taught me how to dispose of a corpse”",7
"“@J_tsar: Death is the destroyer of all pleasures”",4
"“@J_tsar: Everything in life can be free, if you run fast enough...”",6
"“@J_tsar: Evil triumphs when good men do nothing”",11
"“@J_tsar: Evil triumphs when good men do nothing” ",3
"“@J_tsar: Five hundred twenty five thousand six hundred miiinutes”",5
"“@J_tsar: Gain knowledge, get women, acquire currency #livestrong”",4
"“@J_tsar: i didn't become a lifeguard to just chill and get paid, i do it for the people, saving lives brings me joy #lifeguardoftheyear”",11
"“@J_tsar: I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot remain an idiot”",26
"“@J_tsar: I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot remain an idiot” wow",3
"“@J_tsar: I got these bros that I'd take a bullet for, in the leg or the shoulder or something nothing fatal tho”",3
"“@J_tsar: I killed Abe Lincoln during my two hour nap #intensedream”",3
"“@J_tsar: I wanna study a broad or two”",3
"“@J_tsar: I was gonna go for a 6am run aha I'm joking I woke up to eat some Nutella” same",3
"“@J_tsar: I'm a stress free kind of guy”",44
"“@J_tsar: I'm a stress free kind of guy” ",8
"“@J_tsar: I'm a stress free kind of guy” I can tell",4
"“@J_tsar: I'm a stress free kind of guy” lol",5
"“@J_tsar: I'm a stress free kind of guy” same",3
"“@J_tsar: I'm hot, about 103.4 degrees to be exact”",3
"“@J_tsar: I'm in the New York state of mind”",3
"“@J_tsar: If you have the knowledge and the inspiration all that's left is to take action”",14
"“@J_tsar: Imagine how reckless their weekend is going to be in #Louisville”",8
"“@J_tsar: Imagine how reckless their weekend is going to be in #Louisville” ",3
"“@J_tsar: karma will hit you after I do”",3
"“@J_tsar: Keep max b in jail”",5
"“@J_tsar: Living life too fast y'all need to slow down”",4
"“@J_tsar: mama, im a criminal”",4
"“@J_tsar: Most of you are conditioned by the media”",39
"“@J_tsar: Most of you are conditioned by the media” ",5
"“@J_tsar: Never underestimate the rebel with a cause”",19
"“@J_tsar: No one is really violent until they're with the homies”",17
"“@J_tsar: Now we aint come here to start no drama, we just looking for our future baby mamas”",10
"“@J_tsar: So then I says to him, I says, relax bro my beard is not loaded”",23
"“@J_tsar: So then I says to him, I says, relax bro my beard is not loaded” ",4
"“@J_tsar: So then I says to him, I says, relax bro my beard is not loaded” but your backpack is",3
"“@J_tsar: The efficient man is the man who thinks for himself”",3
"“@J_tsar: The value of human life ain't shit nowadays that's #tragic”",5
"“@J_tsar: wish for your brother what you wish for yourself”",3
"“@J_tsar: you've been hit by a smooth criminal”",3
"“@J_tsar:  the furious 5”",4
"“@J_tsar:  Bang! Bang!”",8
"“@J_tsar:  Bang! Bang!” ",3
"“@J_tsar:  Bang! Bang!” Oh",3
"“@KevinHart2ReaI: Sandusky gonna have a good time with you @J_tsar”",5
"@AdrianChen @j_tsar",10
"@j_tsar",79
"@J_tsar",163
"@J_tsar ",39
"@J_tsar :(",5
"@J_tsar .",3
"@J_tsar @imrealted",5
"@J_tsar &lt;3",4
"@J_tsar bitch",9
"@J_tsar burn in hell",11
"@J_tsar burn in hell.",3
"@J_tsar bye bye",3
"@J_tsar cunt",6
"@J_tsar dick",3
"@J_tsar die",5
"@J_tsar don't drop the soap",4
"@J_tsar don't drop the soap.",3
"@J_tsar fag",5
"@J_tsar faggot",5
"@J_tsar follow back",6
"@J_tsar fuck u",4
"@j_tsar fuck you",3
"@J_tsar fuck you",31
"@J_tsar FUCK YOU",5
"@J_tsar fuck you pussy",3
"@J_tsar fuck you.",6
"@J_tsar Fuck you.",3
"@J_tsar fucking idiot",3
"@J_tsar go to hell",4
"@J_tsar hahaha",3
"@J_tsar hello",3
"@J_tsar hey",7
"@J_tsar hey dude, you're 19 years old, got a scholarship at Cambridge, smart, handsome, but for God's sake, you bombed Boston. Geesh!",3
"@J_tsar hi",7
"@J_tsar ily",3
"@J_tsar is innocent",4
"@J_tsar lol",11
"@J_tsar not anymore",3
"@J_tsar Not anymore.",3
"@J_tsar o",3
"@J_tsar piece of shit",3
"@J_tsar pussy",8
"@J_tsar rot in hell",5
"@J_tsar same",7
"@J_tsar sick fuck",3
"@J_tsar sup",4
"@J_tsar turn urself in",3
"@J_tsar turn yourself in",3
"@J_tsar turn yourself in.",3
"@J_tsar well this is awkward",3
"@J_tsar where are you?",4
"@J_tsar where r u",4
"@J_tsar why?",8
"@J_tsar you're a coward",3
"@J_tsar you're a pussy",3
"@J_tsar your a pussy",5
"#bostonstrong Be afraid u pussy @j_tsar cuz badass @mark_wahlberg is on way!He's gnna come 2 ur cell &amp; suck yr dick til u fucking die!",3
"#FF @J_tsar",9
"#Innocent #Innocent #Innocent #Innocent #Innocent #Innocent #Innocent #Innocent #Innocent 
",5
"#MentionAFollowerThatCanGetIt @J_tsar",3
"#NF @J_tsar",3
"Dzhokhar Tsarnaev's twitter account @J_tsar",3
"este es el twitter @J_tsar de Dzhokhar Tsarnaev uno de los sospechosos de las bombas en Boston que continua fugitivo ...",3
"Free @J_tsar",11
"FREE @J_tsar",3
"Free @J_tsar !",3
"Free my nigga @J_tsar",8
"FREE MY NIGGA @J_tsar",3
"Fuck you @J_tsar",6
"Hey @J_tsar",4
"Hey, @J_tsar - that overwhelming sense of panic and fear coursing through your body right now? That's what you did to Boston all week.",4
"I dont believe @j_tsar did the bombing in Boston. Unfollow me if it makes you feel better. My view, you cant change it #FreeJahar #InsideJob",3
"I Hope they get the evil m0therfucker alive... @j_tsar
  
#prayforBoston #manhunt",4
"Rot in hell @J_tsar",3
"RT ",3
"RT “@J_tsar: I'm a stress free kind of guy”",3
"RT @__Ateeq: Innocent @J_tsar http://t.co/u2V2OfOjLU",19
"RT @_alliebezera: @TroyCrossley You're amazing for defending your friend! Strongly agree with you and believe @j_tsar is INNOCENT!!! #TroyC…",4
"RT @_fasto: @J_tsar People are taking your Tweets out of context, it's annoying, I want to believe you're innocent.",3
"RT @_FreeJahar: I would be running scared shitless for my life too if I was being targeted as the bomber. Free @J_tsar #FreeJahar",4
"RT @_Hannaah5: Reading through @j_tsar 's tweets im not convinced he was behind the bombings and the response his family gave on the news.",3
"RT @_iHateMyName: He was set up. #dzhokhartsarnaev  @J_tsar @BarackObama http://t.co/HjYbufdbCh",18
"RT @_InsertHoeJoke_: too bad @J_tsar won't live long enough to enjoy all his new twitter followers",10
"RT @_inSPECTORR_: “@J_tsar: Dam shame when you mess up a good tweet with a typo” damn shame when you mess up a successful race with a bomb",3
"RT @_JackieJohnson_: So @J_tsar is the Boston bomber thats still on the run... ",3
"RT @_Jimmy_BIGGZ: “@ms937babi: Ppl are saying @J_tsar is one of the bombers..Well according to his Tweets he seemed like a normal 20yr old …",4
"RT @_katelauren: @TroyCrossley @J_tsar http://t.co/JE0U7YJhBg",41
"RT @_lamyaa94: I honestly believe that @J_tsar had nothing to do with the bombings. WE NEED HARD EVIDENCE #StayStrong",27
"RT @_LeekDaddy: I still think @J_tsar is innocent till proven guilty..",4
"RT @_Shantee_: Читаю твиттер @J_tsar. Джохар был дохуя философом.",8
"RT @_solrodriguez: “@J_tsar: Ain't no love in the heart of the city, stay safe people” :o this was after the bombing!",7
"RT @_solrodriguez: “@J_tsar: So then I says to him, I says, relax bro my beard is not loaded” this is so scary.... still looking for this k…",6
"RT @_TaylorBang: @J_tsar its only a matter of time before they catch you. You will pay for what you did. #bostonbombing",3
"RT @_thatkiidzach: @J_tsar is innocent. HIS BROTHERS TO BLAME. @TroyCrossley",4
"RT @_whitmor91: FBI Knew Suspects Before Marathon Bombings! @TroyCrossley @J_tsar #TroyCrossleyTruth http://t.co/7kT2xUxsOY"" @CP24",24
"RT @_xLovemeDOWN: They kill you yet @J_tsar ?",3
"RT @0KLED0: I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot remain an idiot Jahar (@J_tsar) Januar…",3
"RT @0xabad1dea: But the important question is, who is taking care of @J_tsar’s beautiful cat Peep",3
"RT @0xabad1dea: I can't shake the feeling that someone, somewhere, is trying to use @J_tsar's twitter data as a basis for account profiling",3
"RT @140elect: Translation: I will die young. Posted 4/22/12. RT @J_tsar: Буду погибать мaлодым",5
"RT @2kdei: Forensics of a suspected killer: The Final Tweets of @j_tsar the Boston Bombing Suspect 4-19-13 http://t.co/hNmxjsxjEx #socialme…",3
"RT @4ever_a_kafir: In response to this tweet about #BostonBoming (http://t.co/ygnzMPg7jL) #Dzhokhar (@J_tsar) chillingly tweeted this: http…",3
"RT @666_eldiablo: If the Boston suspect really is @J_tsar then after Marilyn Manson and computer games they will blame football now. --&gt;…",3
"RT @717ShoutOutz: S/O to @J_tsar aka the Boston Marathon Bomber. Sucks to suck bro! #MERICA ",3
"RT @7um9_: I think the poor @j_tsar and his brother were framed!! wallah 7aram !! :( http://t.co/A0BN4S8UUT",16
"RT @a_girl_irl: alleged bomber @J_tsar calls out @ImRealTed for posting a fake caption on a photo of the attack he committed https://t.co/N…",56
"RT @A1: RT @J_tsar: Evil triumphs when good men do nothing.

Boston bombers' twitter account #watertown",4
"RT @A5bariQ8: حساب الشيشاني #جوهر_تسارناييف  المشتبه : @J_tsar  بـ #انفجار_بوسطن وصورة شقيقة القتيل http://t.co/y0EbNTefS8 والده: قتلوا ابن…",6
"RT @aaishMaddieKhan: Fuck yu America, fuck yur politics, and fuck yur so called justice. #TroyCrossleyTruth @J_tsar @TroyCrossley",9
"RT @abake6: Bet you stressed right now RT @J_tsar: I'm a stress free kind of guy",6
"RT @abake6: Quit camping, pussy @J_tsar",6
"RT @abake6: Sandusky gonna have a good time with you @J_tsar",7
"RT @abake6: You better get that last 140 off bruh @J_tsar",3
"RT @ABC: According to a friend and other evidence examined by @ABC News, Dzhokhar Tsarnaev’s twitter account appears to be @J_tsar",833
"RT @ABC2020: .@J_Tsar, the suspect, tweets Wednesday: ""I'm a stress free kind of guy."" Thursday, fed officials got a break in the investiga…",13
"RT @ABCNewsBlotter: #BostonMarathon Bombing Suspect Dzhokhar Tsarnaev's Twitter Account Appears to Be @J_tsar 
http://t.co/JuAudmfzbe #bost…",27
"RT @Abou_Charlie: Hopeless romantic terrorist “@J_tsar: i wonder who makes her heart ache so, doesn't matter i'll be the one to alleviate h…",4
"RT @Abou_Charlie: Insomniac terrorist “@J_tsar: im on that late night netflix life”",3
"RT @Abou_Charlie: Nutella breeds terrorists “@J_tsar: I was gonna go for a 6am run aha I'm joking I woke up to eat some Nutella”",12
"RT @Abou_Charlie: Sexually frustrated terrorist attracted to women of the enemy “@J_tsar: miss u.s.a is so sexy”",4
"RT @Abou_Charlie: Spoken like a true terrorist “@J_tsar: That homework that I was supposed to do, yeaa I'm still doing it”",12
"RT @Abou_Charlie: Still hopelessly romantic terrorist “@J_tsar: if theres one thing i love, it's a beautiful girl with beautiful curls”",3
"RT @abroeber: @J_tsar It's sad to see such a young man's life go down the shitter. Wonder who his influence was?",3
"RT @abunin: А вот и настоящий тви-аккаунт Джохара Царнаева, задержанного вчера по Бостоном - @J_tsar",10
"RT @acarvin: I've backed up all of @j_tsar's tweets and giving them a read. First impression: Chechen teen who likes hip hop, hanging out a…",11
"RT @acarvin: It does seem weird that the # of tweets on @j_tsar's acct has dropped by a few. Twitter DB error or is someone editing it?",3
"RT @acissejdelaney: “@TroyCrossley: Everyone RT RT  the #TroyCrossleyTrust Campaign to have a voice for @J_tsar” this",3
"RT @Adam27Keefe: Hey @J_tsar , boats only drive in water... ? Iil rat.",5
"RT @adamcraigwatson: @J_tsar you are a waste of life, america gave you hope and promise and then you went and hurt innocent people, lethal …",3
"RT @AdamNaide: BREAKING: First picture of captured #BostonBomber suspect @j_tsar  released: http://t.co/qy1U4cwvmr",11
"RT @adilyaqub: Look through @j_tsar tweets.. Does he sound like he bombed Boston. Come on mate.. Don't believe everything the media says.",6
"RT @AdrianaBeckham: Sad thing is even if @J_tsar is innocent the gov is not gonna admit it, so either way he'll be sent to jail or whatever",6
"RT @AdrianChen: A larger version of old profile pic from @j_tsar twitter account: It's definitely suspect #2 http://t.co/JLNe3xVDb8 via @wi…",5
"RT @AdrianChen: Another old profile picture of @j_tsar, captured seven months ago. It's Tsarnaev http://t.co/cB5F5mjtrn (via @chance)",3
"RT @AdrianChen: This is Dzhokar Tsarnaev's real twitter account--&gt; @J_tsar judging from old profile pic and friend's tweets: http://t.co…",19
"RT @AdrianChen: Weird: Tweets have been deleted from @j_tsar in the past few hours. Now: 1099 Earlier this morning: 1101: http://t.co/i2dot…",34
"RT @afifj: @TroyCrossley you got my support bro .. @j_tsar is innocent .all the support from Lebanon #troycrossleytruth",3
"RT @afifj: PROOF! Boston Marathon Bombing is Staged Terror Attack @J_tsar @TroyCrossley #TroyCrossleyTruth ..all the love Jahar http://t.co…",26
"RT @Afrotonomy: The twitter of the suspected Boston bomber is @J_tsar some of his tweets are errrm.. wow",3
"RT @Afterseven: Dzhokhar Tsarnaev Nov 6 Tweet:  @J_tsar america is impervious to the fuckery #justforthisoneday || BHO love fest #tcot",3
"RT @AidenAintCool: “@_katelauren: @TroyCrossley @J_tsar http://t.co/WvmoPVmQRy” ALL OF YOU! Look at this.",3
"RT @aido_walsh: .@J_tsar hey try R1, R1, Circle, R2, Up, Down, Up, Down, Up, Down,usually works",5
"RT @AIREALxo: @J_tsar &lt;--- wow by his tweets u can really tell he was such a normal young hip guy!!! There's something wrong with all of…",3
"RT @AirForce_Carl: This is Dzhokhar Tsarnaev's twitter account &gt; @J_tsar #bostonbomber 

I doubt @J_tsar will ever get to read this.. Bu…",21
"RT @AirForce_Carl: Twitter trolls - I don't encourage bullying but if you want someone to hate on... Try the Boston Bomber @J_tsar Dzhokhar…",17
"RT @AJIsTheReal: PLEASE be captured alive. Your suffering means the world to me. Don't die before you're punished. “@J_tsar: I'm a stress f…",16
"RT @AL2aijri: حساب الأمريكي من أصل شيشاني (جوهر) اللي فجّر في بوسطن وأُعتقل قبل يومين..
.@J_tsar 
آخر تغريدتين له:
. http://t.co/OKfwF6rMsE",6
"RT @alejandrobasave: @TroyCrossley Stop defending the indefensable. Being @j_tsar s frnd dsnt make u an accomplice, it jst shows ur terribl…",3
"RT @alfundi: هذا حساب مفجر بوسطن في تويتز جوهر تيمورلنك @J_tsar 

#الامارات
#السعودية
#الكويت
#مصر
#عمان",3
"RT @Ali_Canning: I'm confident @J_tsar is innocent and his brother is the crazy one, if he doesn't come out alive its a set up for sure! #m…",4
"RT @Alvaradoblog: Parece q #sospechoso2 tenia cuenta en Twitter @J_tsar",3
"RT @alwabila: المشتبه فيه الثاني في #انفجار_بوسطن
بعد ما اعلنت CNN عن حسابه في تويتر@J_tsar 
وصل عدد متابعينه اكثر من ٨٠الف http://t.co/KEx…",3
"RT @amcxmg: So this one of the bombers? @J_tsar ",3
"RT @amcxmg: WOO! “@J_tsar: Drinking tea and I'm sweating”",7
"RT @Amir_Hali: When the innocence of @J_tsar is proven in court, I want to see what all the idiots who called him a Terrorist have to say @…",3
"RT @AnarchoAnon: ""Dzhokhar’s Twitter feed is a bewildering combination of banality and disaffection:"" @J_tsar",3
"RT @andre_3thousand: Found the POS twitter @J_tsar I wish you a slow and painful death",4
"RT @AndrewCastle63: This is the twitter account of one if the alleged Boston bombers @J_tsar",14
"RT @AngelaRivier: “@GodfreyDewFrost: The Photos Tells Itself @TroyCrossley @J_tsar #JusticeForTsarnaevBrothers http://t.co/sqOTbMkvC1”

#so…",7
"RT @AngelaRivier: INTERESTING - Makes you wonder what the #Truth really is - WATCH
@J_tsar @TroyCrossley #TroyCrossleyTruth http://t.co/tpD…",27
"RT @AngelaRivier: MUST READ! How could is be posted before they even knew who @J_tsar was! #Suspicious !!!
http://t.co/RIDxYnoZsd  @TroyCro…",18
"RT @AngelDevil1166: I think if the cops want ppl to believe them they should show video of the suspects putting bag down @J_tsar or do what…",3
"RT @AngelDevil1166: Quite the trick to get into everyones homes to look for weapons or whatever #dorner now @J_tsar what city will it be ne…",3
"RT @angeliabaybee12: @TroyCrossley @j_tsar  #freejahar Love you guys #support",5
"RT @angryatheistla: “@J_tsar: Just saved a bunch of money on my car insurance by switching my car into reverse and driving over my brother""",4
"RT @anjemchoudary_: Twitter account of #Boston Muslim Jihadi Bomber ---&gt; @J_tsar. He even made fun of the dead people at the place of th…",4
"RT @anniefields47: @J_tsar I know your innocent! You clearly said ""we didn't do it"" in at the shoot out with the police!! 
#freejahar http:…",3
"RT @annietarricone: ur done son @J_tsar",5
"RT @anon99percenter: OK...was looking at Tweets on Twitter account of alleged second suspect (1 that is alive) @J_tsar and the tweets alert…",3
"RT @anthernandez58: RT @KellDosSantos11 RT @LionelTunisiano: #Boston suspect @j_tsar is innocent &amp; this's the proof ! 
#FBI http://t.co…",14
"RT @Ants_SNEweather: Sickening folks supporting  @J_tsar..Your""boy"" is going to face execution for what he did to many, esp this angel! htt…",10
"RT @anuscosgrove: ""@J_tsar: I'm a stress free kind of guy"" http://t.co/paz2Wkodzd",17
"RT @AqibKhan_: Convenient. Suspect @j_tsar hasn't been trialled found guilty or had evidence produced against him, now cant speak http://t.…",3
"RT @ArabicObama: The 2nd suspect was tweeting after the bombing in Boston 

His account: @j_tsar",13
"RT @art2u2: Twitter Account of Bombing Suspect Dzhokhar Tsarnaev Appears to Be @J_tsar - ABC News - http://t.co/5043wcZnBS via @Shareaholic",6
"RT @aryfebriary: This guy @TroyCrossley, tweeting some real shit about #boston bomb. I do believe now @j_tsar is innocent. Keep fighting!!",8
"RT @ASE: ""Free Palestine""

— Jahar (@J_tsar) November 28, 2012

https://t.co/vFT4WXlb5c",4
"RT @ASE: Hm. MT @J_tsar: i didn't become a lifeguard to just chill &amp; get paid, i do it for the people, saving lives brings me joy #life…",26
"RT @ASE: In a sense, the suspect Dzhokhar's #Twitter timeline (@J_tsar) is the 1st interview with him, just without the context or the ques…",14
"RT @ASE: RT @J_tsar ""Beware of pride. Even the most abundant worship can be wiped out with an atom of pride."" https://t.co/Fe2MkvNoDp",3
"RT @ASE: Suspect appears to play beer pong for what it is/isn't worth - RT @J_tsar: I am the best beer pong player in Cambridge. I am the #…",4
"RT @asianmmadotcom: “@J_tsar: Death is the destroyer of all pleasures”
This is from arrested bombers twitter feed. This is his @ http://t.c…",3
"RT @aStonersLifee: Whoever wished @J_tsar was dead, will regret it if he really is innocent, god knows the truth the government isnt protec…",3
"RT @Athoug_: “@TLReed2: Proof that @j_tsar is in custody #BostonStrong http://t.co/Ql5E8vKQ39” @Hayathem_",3
"RT @ATOTHEZEEM: ""innocent until proven guilty"" means @J_tsar is still only a suspect - this is simply exposing how the media has got you al…",3
"RT @AwwHELLToTheNaw: #FailedTwitcon ====&gt; @J_tsar &lt;==== #FailedLife",11
"RT @ayeyouyesyou: @FreeJahar_ @j_tsar looks like a picture from the operating room ",3
"RT @AzadLatif: ""@J_tsar: Most of you are conditioned by the media"" Said by none other than the man himself Dzhokhar Tsarnaev.",9
"RT @AzizAroom: ボストンで捕まったジョハル・ツァルナエフのツイッター@J_tsar　、フォロワー激増してるし！！！",20
"RT @azkemper: “@J_tsar: Being bilingual is da bomb” Bad word choice",10
"RT @b0ss561: Turn yourself in you fucking fag I wanna watch the sox game

“@J_tsar: I'm a stress free kind of guy”",14
"RT @badassprof: Dzhokhar Tsarnaev tweeted this after the bombing, accdng to CNN “@J_tsar: Ain't no love in the heart of the city, stay safe…",38
"RT @BadBitchesMF: Wait so the Boston Bomber @J_tsar has 77k followers?? WTF. Y'all crazy asf..",6
"RT @BadMediaKarma: @J_tsar Gaga inspired you to be a Terrorist #BornThisWay",6
"RT @BarackObeezyy: Your bad RT “@J_tsar: Shit they caught me”",3
"RT @barrymccarty: Note to the 81,600 people now following Jahar Tsarnaev @J_tsar: I don't think he's going to be tweeting for a while.",10
"RT @BaruckObuma: “@J_tsar: bitch, dont kill my vibe”
Fukn tag me in it next tiem pusy",14
"RT @basedpaki: @J_tsar tweets like a normal person ",3
"RT @Bboy_Resonance: @AngeliPV @J_tsar:  He's only a person of interest, yet everyone is already condemning him.  I'm praying for him, too.",4
"RT @BDinza: Personally, I believe @J_tsar is innocent. This is one piece I evidence. #freejahar http://t.co/WeuXGieOV6",16
"RT @BeatClem: #Boston #Watertown Suspected twitter of Dzhokhar Tsarnaev @J_tsar has disturbing tweets, including Monday: http://t.co/qpuPfh…",23
"RT @BeckyWhitehouse: So now @J_tsar is a celebrity on twitter? Cool. NOT. Why are people following him? He's a HORRIBLE person... -_- Manki…",3
"RT @becsplanb: I just cannot get over Dzhokhar Tsarnaev's Twitter account (@j_tsar)",3
"RT @BedrockLana_: They found the suspect Jahar (@J_tsar ) &amp; im just happy they didnt kill him because I have a strong feeling he is inn…",10
"RT @BellaMarieYo: WTF is this BS?! #Fuckthegov #StandForTheInnocent #freejahar @FreeJahar_ @J_Tsar http://t.co/YMbXl4LT0u",8
"RT @beltrandelriomx: Interesante. ¿A qué hora dormía Dzhokhar Tsarnáyev según su cuenta de Twitter @j_tsar http://t.co/OHN52pz02h (vía @qz)",15
"RT @Ben_Brosnan: Unless @J_tsar has a cheat code from GTA he’s a goner.",13
"RT @benjaminbutter: No idea why 90k ppl have followed #manhunt guy, @J_tsar. What do they expect him to tweet? ""@J_tsar became Mayor of Pri…",3
"RT @benjaminbutter: Not sure why 70k people have followed @J_tsar (Boston #manhunt guy). He ain't gonna be tweeting anytime soon. http://t.…",100
"RT @benmaller: Fame is a powerful thing, the Boston Marathon terrorist (@J_tsar) has picked up THOUSANDS of sick twitter followers today, b…",9
"RT @benpopper: Tweet from alleged account of bombing suspect “@J_tsar: If you have the knowledge and the inspiration all that's left is to …",6
"RT @BenTreasure: How do the 100 people who have @J_tsar ""Listed"" on Twitter have their lists organized? Sports, Friends… Terrorists? http:/…",3
"RT @BenTreasure: I wonder if @j_tsar will be live-Tweeting his waterboarding. #manhunt",4
"RT @bfliller: Really look into all the details of the #BostonMarathon bombing...there is a lot of evidence pointing at @j_tsar being innoce…",3
"RT @bhollenbeck92: you had a bad day - daniel powter (lyrics !) @J_tsar  http://t.co/tdpUTQ4wAu",3
"RT @Bieber_Journey: I'll get hate but I think @J_tsar is innocent, or someone set him up to do this. He doesn't seem like he would. He dese…",3
"RT @Bieber_Journey: The government is up to something, nothing seems right. They're hiding things from us @J_tsar is innocent in my eyes ti…",11
"RT @bieberlake_: took 2 hours to make it to the end of @J_tsar's twitter bc i examined every single tweet",3
"RT @biebersdopamine: ""@J_tsar: Being bilingual is da bomb"" I am going straight to hell for laughing at this",3
"RT @biebertoronto: “@J_tsar: Being bilingual is da bomb” I'm finding this awkward",4
"RT @BigPicAlwyn: Pity all ideologies don't include the value of LIFE! Whoever taught U it's ok to kill an 8 year old, failed U? @j_tsar #bo…",3
"RT @BIGTEAMRecords: Caught yo ass!!! @J_tsar ",4
"RT @BIGTEAMRecords: Suspect #2 --&gt; ",7
"RT @billmurphyjr: Criminal complaint says #FBI found @j_tsar Tsarnaev's white hat (&amp; pyrotechnics) in his UMASS dorm. http://t.co/XKJFl…",3
"RT @billmurphyjr: Unbelievable photos of Watertown shootout. Much closer to @J_tsar Tsarnaev brothers than the police were. http://t.co/v2o…",9
"RT @billyontheradio: Creeped out reading suspect #2's twitter account. ----&gt; @j_tsar #sick #Boston #rotinjail",6
"RT @bintlibya: follow @TroyCrossley friend of @J_tsar speaking out in support of his friend. http://t.co/AouVAclnvT #missingpieces",25
"RT @BioncaWasHere: @TroyCrossley I dont know you, but you riding with your boy @j_tsar !!! You are too real for that!! #Respect we believe …",3
"RT @bkenes: RT “@fatiher99: Amerikalilarin bombaci olmak ile sucladigi cocugun twitter hesabi... @J_tsar Normal bir hayati var ve suc profi…",3
"RT @BlakeEBruner: To all the people that are following @j_tsar there's no point.  He will be in prison for life. He won't be able to check …",6
"RT @Blame_Suarez: You're fucked now, bro. @J_tsar",4
"RT @BlameBigGovt: I bet @hardball_chris loves that ""Suspect 2"" @J_tsar retweeted @BarackObama announcing his reelection on 11/6 #GreatMinds…",3
"RT @bluebanana_leaf: แอคเคาท์ทวิต 1ในมือวางระบิด boston  คือ @J_tsar http://t.co/uRyTwCqWf7",7
"RT @Bond_TheDon: @HustlersHope view dis dawg nigger is innocent @J_tsar is innocent... PROOF: http://t.co/sML8ENbvWW #BostonBombing @TroyCr…",9
"RT @Bou_Jangles: Smh free my bro @J_tsar he aint even do nuttin . #FreeJahar",10
"RT @brandonrofl: fag RT @J_tsar I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot remain an idiot",3
"RT @brandy29: @J_tsar This is going to become ironic.",6
"RT @breeannehowe: Boston terror suspect Dzhokhar Tsarnaev - @J_tsar tweeted this day of the attack.  http://t.co/dXuzlheAm7",19
"RT @Breeyiana: This is the guy who was responsible for the Boston Marathon bombing  ======&gt; @J_tsar",3
"RT @brianerbland: From the Boston bomber ""@J_tsar: I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot…",3
